img_id,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
795,255551,8455,18680,24,3,66,0,0,157506,29519,120020,0,0,0,0,0,0,0,0
520,240262,16770,26703,661,4874,129,0,0,66148,22486,210585,4,20,1170,0,0,0,0,12
1039,244092,11602,89160,15,3462,1776,0,22,102922,2077,126660,0,0,8036,0,0,0,0,0
54,199116,5143,4508,3658,26793,436,0,0,106638,13523,189469,8,0,40532,0,0,0,0,0
1027,208323,32007,130858,113,65990,5404,106,57,5269,0,140191,452,0,989,0,0,0,0,65
839,217144,16084,96135,65,14233,2193,0,693,154560,582,87611,1,0,423,0,0,0,0,100
59,269443,5941,3373,267,1170,3917,0,621,87838,580,216311,0,0,118,245,0,0,0,0
563,188293,47910,3328,6546,12009,6458,16,422,96864,13156,187564,45,183,26747,283,0,0,0,0
711,251780,30863,19946,6610,7242,1188,6,7,15229,306,256538,0,0,0,0,0,109,0,0
151,223245,41473,21857,1016,9592,5615,0,530,103053,2054,176625,196,0,4179,34,327,27,0,1
193,214371,42364,27311,1,10697,8580,0,53,138045,2223,146146,0,0,33,0,0,0,0,0
654,182572,0,1280,97,0,973,0,3,251445,76321,71807,0,0,5326,0,0,0,0,0
281,231090,34938,134538,0,0,7594,2835,5251,97947,17,74385,876,0,348,0,0,0,0,5
625,208003,19613,3194,489,1303,6751,10518,10078,112550,40735,173257,174,0,269,0,404,2019,467,0
232,214675,12960,266716,264,133,4798,217,994,29711,317,13467,143,0,45416,0,0,0,13,0
266,204404,36693,105878,132,746,1979,0,0,60940,87,178423,0,0,542,0,0,0,0,0
155,117161,8496,168157,2390,1184,302,0,0,38825,12025,15350,194,0,357,225348,0,0,0,35
394,159292,0,8667,0,0,15,0,453,336169,11416,51630,0,0,19709,0,2473,0,0,0
1023,226863,35737,2314,79,62991,876,0,0,1840,0,256864,0,0,2144,0,0,116,0,0
473,184460,172,12924,0,7419,6198,0,0,216864,82047,78001,48,0,1691,0,0,0,0,0
1093,274743,2271,0,0,0,264,0,6,129552,12159,166804,0,0,4025,0,0,0,0,0
145,240926,8316,20134,157,3427,2094,0,0,83179,9294,213692,0,0,8605,0,0,0,0,0
572,211759,13896,0,40,0,909,0,2943,315031,37233,5091,0,0,2904,0,0,0,0,18
886,196560,16730,69481,19,4775,60,0,0,288661,294,12562,0,3,666,0,0,0,0,13
1055,203121,1223,3380,1987,603,4159,346,704,91835,65249,215229,0,0,1988,0,0,0,0,0
523,227006,25461,4514,3964,18079,1031,0,8,269318,4558,33189,0,0,2696,0,0,0,0,0
391,187592,22186,19990,0,4952,265,0,1,124031,47998,180539,26,0,2233,11,0,0,0,0
111,268042,1709,0,13478,204,180,0,613,69952,1573,230624,16,0,3433,0,0,0,0,0
576,248863,15532,162764,5556,3113,3540,284,68,85488,987,56564,1711,0,5272,82,0,0,0,0
147,249931,8435,9753,0,365,968,0,481,107379,10956,201434,0,0,122,0,0,0,0,0
622,173765,26321,57661,102,16535,1514,0,0,71763,34414,207321,0,0,395,0,0,33,0,0
694,183731,55358,28,14,5735,2122,0,0,76526,34826,230474,235,0,757,0,0,18,0,0
786,178423,1190,3405,1508,18356,2943,3,80,131640,93496,153927,0,0,407,4396,0,50,0,0
348,230969,2995,48735,1909,12567,105,42,124,177379,125,91425,0,0,21994,731,724,0,0,0
36,239253,4061,53352,6,900,4904,0,50,141888,21196,119631,0,0,4583,0,0,0,0,0
592,223750,33136,0,7,0,0,0,0,214552,9023,108180,0,0,1176,0,0,0,0,0
1070,219882,41060,15781,283,0,1754,286,374,106474,7282,185216,6,0,11312,0,0,114,0,0
357,508952,59,9442,13784,0,0,0,0,1789,0,55481,0,0,203,0,0,0,0,114
881,210602,14545,3151,0,34,1105,0,81,317945,13215,29070,0,0,76,0,0,0,0,0
549,262861,8777,72426,4648,672,3312,1219,519,61479,5807,167410,0,0,654,0,0,0,0,40
925,256462,1,11400,2182,14572,659,68,0,48215,14626,241514,0,0,125,0,0,0,0,0
392,193040,33027,8348,415,6826,225,0,37,221194,28702,97540,2,0,468,0,0,0,0,0
312,269910,3093,622,35,347,915,0,325,128079,7784,178161,0,0,553,0,0,0,0,0
872,224782,24481,3836,18056,0,3528,8044,7887,235600,5256,47896,0,0,10458,0,0,0,0,0
231,246122,6077,140391,160,2732,1478,0,33,143601,3833,28901,94,0,16146,256,0,0,0,0
1068,178994,10564,45452,2,5907,5326,2462,5576,63965,12761,185012,0,0,73803,0,0,0,0,0
774,203189,8116,2146,2987,2281,419,0,16,253266,38312,78860,0,0,232,0,0,0,0,0
503,195507,162,26,0,1640,4692,0,0,223596,39366,123013,0,0,1822,0,0,0,0,0
1062,128838,190,15,280,0,1362,0,179,238699,134950,82738,0,0,2573,0,0,0,0,0
3,249400,660,6941,25569,9342,441,3,5,146525,1380,148328,0,0,1230,0,0,0,0,0
24,217167,4295,3646,2,5779,2418,866,226,73064,2785,230351,872,0,3264,45089,0,0,0,0
953,258653,17494,744,3943,4893,673,4110,22,86979,136,212057,3,0,117,0,0,0,0,0
127,255480,6410,66,4059,3422,1532,0,17,109506,4957,204259,0,0,116,0,0,0,0,0
79,207707,5810,0,11195,557,322,0,73,177671,1880,151984,0,0,32625,0,0,0,0,0
98,246670,5854,115180,18407,20354,2,0,85,729,2426,155590,0,0,24527,0,0,0,0,0
828,157010,0,22310,391,1035,946,0,103,129121,100444,177525,0,0,939,0,0,0,0,0
1042,221017,30176,37816,4402,1797,2449,11,0,47462,23795,220890,0,0,4,0,0,5,0,0
